config_id,parameter,value,scenario,seed,cumulative_sla_violations,RFI
beta_1p0,beta,1.0,2ec_high_off,577215664,282,0.4548350041771094
beta_1p0,beta,1.0,2ec_high_off,602214076,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,633816299,282,0.41601171212821697
beta_1p0,beta,1.0,2ec_high_off,675849302,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,707106781,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,794161987,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,866025403,282,0.41601171212821697
beta_1p0,beta,1.0,2ec_high_off,918273645,282,0.41601171212821697
beta_1p0,beta,1.0,2ec_high_off,987654321,21,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,1029384756,282,0.4548350041771094
beta_1p0,beta,1.0,2ec_high_off,1123581321,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,1145661099,29,0.24586977648202138
beta_1p0,beta,1.0,2ec_high_off,1282538739,288,0.42396313364055294
beta_1p0,beta,1.0,2ec_high_off,1329531353,28,0.24586977648202138
