scenario,algo,seed,step,elapsed_ms
sample,thea,794161987,33,0.383
sample,thea,794161987,34,0.8939
sample,thea,794161987,35,0.8752
sample,thea,794161987,36,1.0574
sample,thea,794161987,37,0.6819
sample,thea,794161987,38,0.6275
sample,thea,794161987,39,0.4002
sample,thea,794161987,40,0.3238
sample,thea,794161987,41,0.3123
sample,thea,794161987,42,0.3559
sample,thea,794161987,43,0.3003
sample,thea,794161987,44,0.4375
sample,thea,794161987,45,0.3422
sample,thea,794161987,46,0.3107
sample,thea,794161987,47,0.3107
sample,thea,794161987,48,0.7641
sample,thea,794161987,49,0.6745
sample,thea,794161987,50,0.6159
sample,thea,794161987,51,0.5709
sample,thea,794161987,52,0.3562
sample,thea,794161987,53,0.8803
sample,thea,794161987,54,0.9342
sample,thea,794161987,55,0.718
sample,thea,794161987,56,0.621
sample,thea,794161987,57,1.2097
sample,thea,794161987,58,0.6345
sample,thea,794161987,59,0.5985
sample,thea,794161987,60,0.6388
2ec_low_on,thea,794161987,1,11.9281
2ec_low_on,thea,794161987,2,2.3913
2ec_low_on,thea,794161987,3,2.7053
2ec_low_on,thea,794161987,4,3.0043
2ec_low_on,thea,794161987,5,6.0408
2ec_low_on,thea,794161987,6,10.1725
2ec_low_on,thea,794161987,7,4.7103
2ec_low_on,thea,794161987,8,1.6812
2ec_low_on,thea,794161987,9,4.1807
2ec_low_on,thea,794161987,10,4.0161
2ec_low_off,thea,794161987,1,6.2334
2ec_low_off,thea,794161987,2,3.9121
2ec_low_off,thea,794161987,3,3.8111
2ec_low_off,thea,794161987,4,3.3098
2ec_low_off,thea,794161987,5,2.1471
2ec_low_off,thea,794161987,6,3.6408
2ec_low_off,thea,794161987,7,3.0711
2ec_low_off,thea,794161987,8,3.4824
2ec_low_off,thea,794161987,9,3.2571
2ec_low_off,thea,794161987,10,1.9722
2ec_low_off,thea,794161987,11,1.3289
2ec_high_on,thea,794161987,1,4.1393
2ec_high_on,thea,794161987,2,3.1195
2ec_high_on,thea,794161987,3,1.9358
2ec_high_on,thea,794161987,4,1.7699
2ec_high_on,thea,794161987,5,1.8086
2ec_high_on,thea,794161987,6,2.714
2ec_high_on,thea,794161987,7,1.7631
