Object,Time Step,Instance ID,Available,Server,Being Provisioned,Last Migration
Service_1,50,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,50,2,True,,False,
Service_3,50,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,50,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,50,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,50,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,51,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,51,2,True,,False,
Service_3,51,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,51,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,51,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,51,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,52,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,52,2,True,,False,
Service_3,52,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,52,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
Service_5,52,5,True,3.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_3', 'start': 1, 'end': 4, 'waiting': 0, 'pulling': 3, 'migr_state': 0}"
Service_6,52,6,True,2.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_2', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_1,53,1,True,1.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_1', 'start': 2, 'end': 3, 'waiting': 0, 'pulling': 1, 'migr_state': 0}"
Service_2,53,2,True,,False,
Service_3,53,3,True,4.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_4', 'start': 1, 'end': 8, 'waiting': 0, 'pulling': 7, 'migr_state': 0}"
Service_4,53,4,True,5.0,False,"{'status': 'finished', 'origin': 'None', 'target': 'EdgeServer_5', 'start': 1, 'end': 1, 'waiting': 0, 'pulling': 0, 'migr_state': 0}"
